ANO;TRIMESTRE;RAZAO_SOCIAL;NOME_FANTASIA;CNPJ;PORTE;DATA_INICIO_OPERACAO;SITUACAO;ATIVIDADE;CEP;UF;LOCALIDADE;BAIRRO;LOGRADOURO;DATA_GERACAO_CERTIFICADO;DATA_VALIDADE_CERTIFICADO;CODIGO_CERTIFICADO;CODIGO_DESCRICAO_CNAE;NATUREZA_JURIDICA
2021;1;MELLO, RIBEIRO & MELLO LTDA;China in Box Rosarinho;00.874.830/0001-48;EMPRESA DE PEQUENO PORTE;25/10/1995;Em Operação;Restaurante, Cafeteria, Bar e Similares;52041-305;PE;Recife;Rosarinho;Amaro Coutinho;23/03/2020 09:27;23/03/2022 09:27;00.874.830/0001-48;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Sociedade Empresária Limitada
2021;1;M DAS DORES DE SOUZA CHURRASCARIA;Restaurante e Churrascaria da Dodora;01.219.705/0001-67;MICROEMPRESA;28/05/1996;Em Operação;Restaurante, Cafeteria, Bar e Similares;55690-000;PE;Barra de Guabiraba; - ;Av. Eneias Texeira de Carvalho n 101;01/04/2019 10:44;01/04/2021 10:44;01.219.705/0001-67;5611-2/02 - BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;Empresário Individual
2021;1;POUSADA DO AMPARO - EIRELI;POUSADA DO AMPARO;01.790.381/0001-12;MICROEMPRESA;06/04/1997;Em Operação;Restaurante, Cafeteria, Bar e Similares;53025-080;PE;Olinda;Amparo;do Amparo;11/06/2020 08:17;11/06/2022 08:17;01.790.381/0001-12;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;NEZ BISTRO COMERCIO DE BEBIDAS E RESTAURANTE EIRELI;NEZ BISTRO;02.217.561/0001-72;MICROEMPRESA;30/10/1997;Em Operação;Restaurante, Cafeteria, Bar e Similares;52061-420;PE;Recife;Casa Forte;de Casa Forte;16/07/2020 12:44;16/07/2022 12:44;02.217.561/0001-72;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
2021;1;ATLANTICA HOTELS INTERNATIONAL BRASIL LTDA;RESTAURANTE NABUCO;02.223.966/0036-43;DEMAIS;03/10/2003;Em Operação;Restaurante, Cafeteria, Bar e Similares;51111-000;PE;Recife;Boa Viagem;Boa Viagem;19/12/2019 07:58;19/12/2021 07:58;02.223.966/0036-43;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;JAYME BANDEIRA DE MELO MAYNARD;'' SABOR DO SERTAO '';02.617.079/0001-20;MICROEMPRESA;19/06/1998;Em Operação;Restaurante, Cafeteria, Bar e Similares;55825-000;PE;Paudalho; - ;BR 408    KM 40;18/02/2021 14:07;18/02/2023 14:07;02.617.079/0001-20;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;ARTESANATO DO ARQUIPELAGO LTDA;ARTESANATO DO ARQUIPELAGO;03.333.441/0001-01;MICROEMPRESA;09/08/1999;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;Fernando de Noronha;11/06/2020 10:54;11/06/2022 10:54;03.333.441/0001-01;5611-2/03 - LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES;Sociedade Empresária Limitada
2021;1;MARCELO A. DE CARVALHO ALVES;COMPANHIA DA LUA;03.982.948/0001-88;MICROEMPRESA;26/06/2000;Em Operação;Restaurante, Cafeteria, Bar e Similares;53990-000;PE;Fernando de Noronha; - ;bosque dos flamboyants;11/05/2020 09:11;11/05/2022 09:11;03.982.948/0001-88;5611-2/01 - RESTAURANTES E SIMILARES;Empresário (Individual)
2021;1;GONDIM ALMEIDA COMERCIO ALIMENTICIO LTDA;Bodega e Pizza;04.160.140/0001-88;EMPRESA DE PEQUENO PORTE;23/11/2000;Em Operação;Restaurante, Cafeteria, Bar e Similares;54450-010;PE;Jaboatão dos Guararapes;Candeias;Químico Antônio Victor;06/08/2020 14:20;06/08/2022 14:20;04.160.140/0001-88;5611-2/01 - RESTAURANTES E SIMILARES;Sociedade Empresária Limitada
2021;1;HOTEIS E TURISMO DO NORDESTE EIRELI;HOTÉIS E TURISMO DO NORDESTE LTDA - EPP;04.282.640/0001-92;EMPRESA DE PEQUENO PORTE;13/02/2001;Em Operação;Restaurante, Cafeteria, Bar e Similares;55296-300;PE;Garanhuns;Heliópolis;Rui Barbosa;23/06/2020 15:07;23/06/2022 15:07;04.282.640/0001-92;5611-2/01 - RESTAURANTES E SIMILARES;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária)
